"metric","topn","val","method","spl"
"acc",1,0.982909860859044,"linear",1
"binacc",1,0.982909860859044,"linear",1
"eacc",1,0.0170901391409558,"linear",1
"ebinacc",1,0.0170901391409558,"linear",1
"nll",1,0.0718125060150435,"linear",1
"binnll",1,0.0718125060150435,"linear",1
"rps",1,0.0158466578631385,"linear",1
"cint",1,0.00626878273166696,"linear",1
"cslope",1,0.982930327170442,"linear",1
"brier",1,0.0158466578631385,"linear",1
"auc",1,0.826666208791209,"linear",1
"eauc",1,0.173333791208791,"linear",1
"qwk",1,-0.000299893430727227,"linear",1
"eqwk",1,1.00029989343073,"linear",1
"acc",2,0.983061101028433,"linear",1
"binacc",2,0.983061101028433,"linear",1
"eacc",2,0.0169388989715669,"linear",1
"ebinacc",2,0.0169388989715669,"linear",1
"nll",2,0.0725434291590552,"linear",1
"binnll",2,0.0725434291590552,"linear",1
"rps",2,0.0158758541046928,"linear",1
"cint",2,0.00388265574369876,"linear",1
"cslope",2,1.01464914265198,"linear",1
"brier",2,0.0158758541046928,"linear",1
"auc",2,0.81409478021978,"linear",1
"eauc",2,0.18590521978022,"linear",1
"qwk",2,0,"linear",1
"eqwk",2,1,"linear",1
"acc",3,0.983061101028433,"linear",1
"binacc",3,0.983061101028433,"linear",1
"eacc",3,0.0169388989715669,"linear",1
"ebinacc",3,0.0169388989715669,"linear",1
"nll",3,0.072460416789814,"linear",1
"binnll",3,0.072460416789814,"linear",1
"rps",3,0.0158904922443137,"linear",1
"cint",3,-0.00570740094215933,"linear",1
"cslope",3,1.06167278658006,"linear",1
"brier",3,0.0158904922443137,"linear",1
"auc",3,0.817347527472527,"linear",1
"eauc",3,0.182652472527473,"linear",1
"qwk",3,0,"linear",1
"eqwk",3,1,"linear",1
"acc",4,0.983061101028433,"linear",1
"binacc",4,0.983061101028433,"linear",1
"eacc",4,0.0169388989715669,"linear",1
"ebinacc",4,0.0169388989715669,"linear",1
"nll",4,0.0728149842591478,"linear",1
"binnll",4,0.0728149842591478,"linear",1
"rps",4,0.0158951755508705,"linear",1
"cint",4,-0.00848269373330136,"linear",1
"cslope",4,1.07105852332704,"linear",1
"brier",4,0.0158951755508705,"linear",1
"auc",4,0.812931318681319,"linear",1
"eauc",4,0.187068681318681,"linear",1
"qwk",4,0,"linear",1
"eqwk",4,1,"linear",1
"acc",5,0.983061101028433,"linear",1
"binacc",5,0.983061101028433,"linear",1
"eacc",5,0.0169388989715669,"linear",1
"ebinacc",5,0.0169388989715669,"linear",1
"nll",5,0.0730631831931162,"linear",1
"binnll",5,0.0730631831931162,"linear",1
"rps",5,0.0159041978601149,"linear",1
"cint",5,-0.0128683879590828,"linear",1
"cslope",5,1.12330666431563,"linear",1
"brier",5,0.0159041978601149,"linear",1
"auc",5,0.810842032967033,"linear",1
"eauc",5,0.189157967032967,"linear",1
"qwk",5,0,"linear",1
"eqwk",5,1,"linear",1
"acc",1,0.982909860859044,"log-linear",1
"binacc",1,0.982909860859044,"log-linear",1
"eacc",1,0.0170901391409558,"log-linear",1
"ebinacc",1,0.0170901391409558,"log-linear",1
"nll",1,0.0718125060150435,"log-linear",1
"binnll",1,0.0718125060150435,"log-linear",1
"rps",1,0.0158466578631385,"log-linear",1
"cint",1,0.00626878273166696,"log-linear",1
"cslope",1,0.982930327170442,"log-linear",1
"brier",1,0.0158466578631385,"log-linear",1
"auc",1,0.826666208791209,"log-linear",1
"eauc",1,0.173333791208791,"log-linear",1
"qwk",1,-0.000299893430727227,"log-linear",1
"eqwk",1,1.00029989343073,"log-linear",1
"acc",2,0.983061101028433,"log-linear",1
"binacc",2,0.983061101028433,"log-linear",1
"eacc",2,0.0169388989715669,"log-linear",1
"ebinacc",2,0.0169388989715669,"log-linear",1
"nll",2,0.0725548663414438,"log-linear",1
"binnll",2,0.0725548663414438,"log-linear",1
"rps",2,0.0158811064392536,"log-linear",1
"cint",2,0.00702324351739918,"log-linear",1
"cslope",2,1.01162331657956,"log-linear",1
"brier",2,0.0158811064392536,"log-linear",1
"auc",2,0.814100274725275,"log-linear",1
"eauc",2,0.185899725274725,"log-linear",1
"qwk",2,0,"log-linear",1
"eqwk",2,1,"log-linear",1
"acc",3,0.983061101028433,"log-linear",1
"binacc",3,0.983061101028433,"log-linear",1
"eacc",3,0.0169388989715669,"log-linear",1
