"metric","val","method","spl"
"acc",0.982902661461312,"avgl",1
"binacc",0.982902661461312,"avgl",1
"eacc",0.0170973385386877,"avgl",1
"ebinacc",0.0170973385386877,"avgl",1
"nll",0.0720907780007072,"avgl",1
"binnll",0.0720907780007072,"avgl",1
"rps",0.0158685859629732,"avgl",1
"cint",0.00504188139786903,"avgl",1
"cslope",0.977525710864479,"avgl",1
"brier",0.0158685859629732,"avgl",1
"auc",0.823466265059125,"avgl",1
"eauc",0.176533734940875,"avgl",1
"qwk",-0.000313926973870137,"avgl",1
"eqwk",1.00031392697387,"avgl",1
"acc",0.983212341197822,"avgl",2
"binacc",0.983212341197822,"avgl",2
"eacc",0.0167876588021778,"avgl",2
"ebinacc",0.0167876588021778,"avgl",2
"nll",0.0724192586572761,"avgl",2
"binnll",0.0724192586572761,"avgl",2
"rps",0.0155219459993463,"avgl",2
"cint",0.0814268056404182,"avgl",2
"cslope",0.98528407304949,"avgl",2
"brier",0.0155219459993463,"avgl",2
"auc",0.801049318815816,"avgl",2
"eauc",0.198950681184184,"avgl",2
"qwk",0.0171150323016102,"avgl",2
"eqwk",0.98288496769839,"avgl",2
"acc",0.981306505498019,"avgl",3
"binacc",0.981306505498019,"avgl",3
"eacc",0.018693494501981,"avgl",3
"ebinacc",0.018693494501981,"avgl",3
"nll",0.0800548339685575,"avgl",3
"binnll",0.0800548339685575,"avgl",3
"rps",0.0173824749820154,"avgl",3
"cint",-0.0981171517182164,"avgl",3
"cslope",0.9042553641688,"avgl",3
"brier",0.0173824749820154,"avgl",3
"auc",0.795216566337814,"avgl",3
"eauc",0.204783433662186,"avgl",3
"qwk",0.0148817762795904,"avgl",3
"eqwk",0.98511822372041,"avgl",3
"acc",0.983317216976608,"avgl",4
"binacc",0.983317216976608,"avgl",4
"eacc",0.0166827830233923,"avgl",4
"ebinacc",0.0166827830233923,"avgl",4
"nll",0.0758815653611404,"avgl",4
"binnll",0.0758815653611404,"avgl",4
"rps",0.0158547367356094,"avgl",4
"cint",0.0600735817389413,"avgl",4
"cslope",0.797937152398404,"avgl",4
"brier",0.0158547367356094,"avgl",4
"auc",0.771702610631772,"avgl",4
"eauc",0.228297389368228,"avgl",4
"qwk",0.00515962149807472,"avgl",4
"eqwk",0.994840378501925,"avgl",4
"acc",0.982909860859044,"avgl",5
"binacc",0.982909860859044,"avgl",5
"eacc",0.0170901391409558,"avgl",5
"ebinacc",0.0170901391409558,"avgl",5
"nll",0.0745336333218788,"avgl",5
"binnll",0.0745336333218788,"avgl",5
"rps",0.0162092515051451,"avgl",5
"cint",-0.0421060286503004,"avgl",5
"cslope",0.92941974128744,"avgl",5
"brier",0.0162092515051451,"avgl",5
"auc",0.810043552863823,"avgl",5
"eauc",0.189956447136177,"avgl",5
"qwk",0,"avgl",5
"eqwk",1,"avgl",5
"acc",0.983363581367211,"avgl",6
"binacc",0.983363581367211,"avgl",6
"eacc",0.0166364186327888,"avgl",6
"ebinacc",0.0166364186327888,"avgl",6
"nll",0.0732705052000708,"avgl",6
"binnll",0.0732705052000708,"avgl",6
"rps",0.0155756458588736,"avgl",6
"cint",-0.0221472526848699,"avgl",6
"cslope",1.0267694449881,"avgl",6
"brier",0.0155756458588736,"avgl",6
"auc",0.790220478161254,"avgl",6
"eauc",0.209779521838746,"avgl",6
"qwk",0,"avgl",6
"eqwk",1,"avgl",6
"acc",0.982901541110591,"avgll",1
"binacc",0.982901541110591,"avgll",1
"eacc",0.0170984588894092,"avgll",1
"ebinacc",0.0170984588894092,"avgll",1
"nll",0.0720735617630229,"avgll",1
"binnll",0.0720735617630229,"avgll",1
"rps",0.0158682100370457,"avgll",1
"cint",0.00492948376346256,"avgll",1
"cslope",0.978264037026289,"avgll",1
"brier",0.0158682100370457,"avgll",1
"auc",0.823784336325363,"avgll",1
"eauc",0.176215663674637,"avgll",1
"qwk",-0.0003161108357392,"avgll",1
"eqwk",1.00031611083574,"avgll",1
"acc",0.983212341197822,"avgll",2
"binacc",0.983212341197822,"avgll",2
"eacc",0.0167876588021778,"avgll",2
"ebinacc",0.0167876588021778,"avgll",2
"nll",0.0724192586572761,"avgll",2
"binnll",0.0724192586572761,"avgll",2
"rps",0.0155219459993463,"avgll",2
"cint",0.0814268056404182,"avgll",2
"cslope",0.98528407304949,"avgll",2
"brier",0.0155219459993463,"avgll",2
"auc",0.801049318815816,"avgll",2
"eauc",0.198950681184184,"avgll",2
"qwk",0.0171150323016102,"avgll",2
"eqwk",0.98288496769839,"avgll",2
"acc",0.981305084042707,"avgll",3
"binacc",0.981305084042707,"avgll",3
"eacc",0.0186949159572933,"avgll",3
"ebinacc",0.0186949159572933,"avgll",3
"nll",0.0800367812118373,"avgll",3
"binnll",0.0800367812118373,"avgll",3
"rps",0.0173815065694766,"avgll",3
"cint",-0.0982741301139221,"avgll",3
"cslope",0.904757032048707,"avgll",3
"brier",0.0173815065694766,"avgll",3
"auc",0.795325986721192,"avgll",3
"eauc",0.204674013278808,"avgll",3
"qwk",0.0148779323418623,"avgll",3
"eqwk",0.985122067658138,"avgll",3
"acc",0.983317328487097,"avgll",4
"binacc",0.983317328487097,"avgll",4
"eacc",0.0166826715129026,"avgll",4
"ebinacc",0.0166826715129026,"avgll",4
"nll",0.0758818632272577,"avgll",4
"binnll",0.0758818632272577,"avgll",4
"rps",0.0158542906839385,"avgll",4
"cint",0.0600664266862844,"avgll",4
"cslope",0.797938118303654,"avgll",4
"brier",0.0158542906839385,"avgll",4
"auc",0.771670930074971,"avgll",4
"eauc",0.228329069925029,"avgll",4
"qwk",0.00514721214872564,"avgll",4
"eqwk",0.994852787851274,"avgll",4
"acc",0.982909860859044,"avgll",5
"binacc",0.982909860859044,"avgll",5
"eacc",0.0170901391409559,"avgll",5
"ebinacc",0.0170901391409559,"avgll",5
"nll",0.0745351020730082,"avgll",5
"binnll",0.0745351020730082,"avgll",5
"rps",0.016209700401455,"avgll",5
"cint",-0.0421539939986155,"avgll",5
"cslope",0.929289238808227,"avgll",5
"brier",0.016209700401455,"avgll",5
"auc",0.810052829481327,"avgll",5
"eauc",0.189947170518673,"avgll",5
"qwk",0,"avgll",5
"eqwk",1,"avgll",5
"acc",0.983363581367211,"avgll",6
"binacc",0.983363581367211,"avgll",6
"eacc",0.0166364186327888,"avgll",6
"ebinacc",0.0166364186327888,"avgll",6
"nll",0.0732867585426167,"avgll",6
"binnll",0.0732867585426167,"avgll",6
"rps",0.0155783304502221,"avgll",6
