"metric","topn","val","method","spl"
"acc",1,0.982607380520266,"linear",1
"binacc",1,0.982607380520266,"linear",1
"eacc",1,0.0173926194797338,"linear",1
"ebinacc",1,0.0173926194797338,"linear",1
"nll",1,0.0751555903467583,"linear",1
"binnll",1,0.0751555903467583,"linear",1
"rps",1,0.0159681490750309,"linear",1
"cint",1,-0.0391005693573997,"linear",1
"cslope",1,0.883987953680856,"linear",1
"brier",1,0.0159681490750309,"linear",1
"auc",1,0.789659340659341,"linear",1
"eauc",1,0.210340659340659,"linear",1
"qwk",1,0.0156689329487731,"linear",1
"eqwk",1,0.984331067051227,"linear",1
"acc",2,0.982758620689655,"linear",1
"binacc",2,0.982758620689655,"linear",1
"eacc",2,0.0172413793103449,"linear",1
"ebinacc",2,0.0172413793103449,"linear",1
"nll",2,0.0736331295824134,"linear",1
"binnll",2,0.0736331295824134,"linear",1
"rps",2,0.0157729718560404,"linear",1
"cint",2,-0.0373387493534092,"linear",1
"cslope",2,0.990210175551077,"linear",1
"brier",2,0.0157729718560404,"linear",1
"auc",2,0.797461538461538,"linear",1
"eauc",2,0.202538461538462,"linear",1
"qwk",2,-0.000594700791164415,"linear",1
"eqwk",2,1.00059470079116,"linear",1
"acc",3,0.982909860859044,"linear",1
"binacc",3,0.982909860859044,"linear",1
"eacc",3,0.0170901391409558,"linear",1
"ebinacc",3,0.0170901391409558,"linear",1
"nll",3,0.0728342868455772,"linear",1
"binnll",3,0.0728342868455772,"linear",1
"rps",3,0.0157681558670171,"linear",1
"cint",3,-0.0435177874018351,"linear",1
"cslope",3,1.05169254634427,"linear",1
"brier",3,0.0157681558670171,"linear",1
"auc",3,0.807641483516484,"linear",1
"eauc",3,0.192358516483516,"linear",1
"qwk",3,-0.000299893430727227,"linear",1
"eqwk",3,1.00029989343073,"linear",1
"acc",4,0.983061101028433,"linear",1
"binacc",4,0.983061101028433,"linear",1
"eacc",4,0.0169388989715669,"linear",1
"ebinacc",4,0.0169388989715669,"linear",1
"nll",4,0.0717611328151097,"linear",1
"binnll",4,0.0717611328151097,"linear",1
"rps",4,0.0157214574888732,"linear",1
"cint",4,-0.0269893047825407,"linear",1
"cslope",4,1.1097086626514,"linear",1
"brier",4,0.0157214574888732,"linear",1
"auc",4,0.817710164835165,"linear",1
"eauc",4,0.182289835164835,"linear",1
"qwk",4,0,"linear",1
"eqwk",4,1,"linear",1
"acc",5,0.983061101028433,"linear",1
"binacc",5,0.983061101028433,"linear",1
"eacc",5,0.0169388989715669,"linear",1
"ebinacc",5,0.0169388989715669,"linear",1
"nll",5,0.0716379009365515,"linear",1
"binnll",5,0.0716379009365515,"linear",1
"rps",5,0.0157165748653621,"linear",1
"cint",5,-0.0226604449455301,"linear",1
"cslope",5,1.1300345192681,"linear",1
"brier",5,0.0157165748653621,"linear",1
"auc",5,0.818582417582418,"linear",1
"eauc",5,0.181417582417582,"linear",1
"qwk",5,0,"linear",1
"eqwk",5,1,"linear",1
"acc",1,0.982607380520266,"log-linear",1
"binacc",1,0.982607380520266,"log-linear",1
"eacc",1,0.0173926194797338,"log-linear",1
"ebinacc",1,0.0173926194797338,"log-linear",1
"nll",1,0.0751555903467583,"log-linear",1
"binnll",1,0.0751555903467583,"log-linear",1
"rps",1,0.0159681490750309,"log-linear",1
"cint",1,-0.0391005693573997,"log-linear",1
"cslope",1,0.883987953680856,"log-linear",1
"brier",1,0.0159681490750309,"log-linear",1
"auc",1,0.789659340659341,"log-linear",1
"eauc",1,0.210340659340659,"log-linear",1
"qwk",1,0.0156689329487731,"log-linear",1
"eqwk",1,0.984331067051227,"log-linear",1
"acc",2,0.982607380520266,"log-linear",1
"binacc",2,0.982607380520266,"log-linear",1
"eacc",2,0.0173926194797338,"log-linear",1
"ebinacc",2,0.0173926194797338,"log-linear",1
"nll",2,0.0737398665562137,"log-linear",1
"binnll",2,0.0737398665562137,"log-linear",1
"rps",2,0.0158236927103537,"log-linear",1
"cint",2,-0.028101566097936,"log-linear",1
"cslope",2,0.97222356542768,"log-linear",1
"brier",2,0.0158236927103537,"log-linear",1
"auc",2,0.797399725274725,"log-linear",1
"eauc",2,0.202600274725275,"log-linear",1
"qwk",2,-0.000884550379882665,"log-linear",1
"eqwk",2,1.00088455037988,"log-linear",1
"acc",3,0.982456140350877,"log-linear",1
"binacc",3,0.982456140350877,"log-linear",1
"eacc",3,0.0175438596491229,"log-linear",1
"ebinacc",3,0.0175438596491229,"log-linear",1
"nll",3,0.0729778461489132,"log-linear",1
"binnll",3,0.0729778461489132,"log-linear",1
"rps",3,0.015842744107076,"log-linear",1
"cint",3,-0.0313018245983625,"log-linear",1
"cslope",3,1.0243054426724,"log-linear",1
"brier",3,0.015842744107076,"log-linear",1
"auc",3,0.807627747252747,"log-linear",1
"eauc",3,0.192372252747253,"log-linear",1
"qwk",3,-0.00116956621624453,"log-linear",1
"eqwk",3,1.00116956621624,"log-linear",1
"acc",4,0.982758620689655,"log-linear",1
"binacc",4,0.982758620689655,"log-linear",1
"eacc",4,0.0172413793103449,"log-linear",1
"ebinacc",4,0.0172413793103449,"log-linear",1
"nll",4,0.0718883910851121,"log-linear",1
"binnll",4,0.0718883910851121,"log-linear",1
"rps",4,0.0157859154128357,"log-linear",1
"cint",4,-0.0126787444036563,"log-linear",1
"cslope",4,1.0789307913816,"log-linear",1
"brier",4,0.0157859154128357,"log-linear",1
"auc",4,0.817682692307692,"log-linear",1
"eauc",4,0.182317307692308,"log-linear",1
"qwk",4,-0.000594700791164415,"log-linear",1
"eqwk",4,1.00059470079116,"log-linear",1
"acc",5,0.982909860859044,"log-linear",1
"binacc",5,0.982909860859044,"log-linear",1
"eacc",5,0.0170901391409558,"log-linear",1
"ebinacc",5,0.0170901391409558,"log-linear",1
"nll",5,0.0717407538614284,"log-linear",1
"binnll",5,0.0717407538614284,"log-linear",1
"rps",5,0.0157665470889621,"log-linear",1
"cint",5,-0.00866665901074805,"log-linear",1
"cslope",5,1.1006271096974,"log-linear",1
"brier",5,0.0157665470889621,"log-linear",1
"auc",5,0.818534340659341,"log-linear",1
"eauc",5,0.181465659340659,"log-linear",1
"qwk",5,-0.000299893430727227,"log-linear",1
"eqwk",5,1.00029989343073,"log-linear",1
"acc",1,0.982607380520266,"trafo",1
"binacc",1,0.982607380520266,"trafo",1
"eacc",1,0.0173926194797338,"trafo",1
"ebinacc",1,0.0173926194797338,"trafo",1
"nll",1,0.0751555903467584,"trafo",1
"binnll",1,0.0751555903467584,"trafo",1
"rps",1,0.0159681490750309,"trafo",1
"cint",1,-0.0391005693573997,"trafo",1
"cslope",1,0.883987953680863,"trafo",1
"brier",1,0.0159681490750309,"trafo",1
"auc",1,0.789659340659341,"trafo",1
"eauc",1,0.210340659340659,"trafo",1
"qwk",1,0.0156689329487731,"trafo",1
"eqwk",1,0.984331067051227,"trafo",1
"acc",2,0.982758620689655,"trafo",1
"binacc",2,0.982758620689655,"trafo",1
"eacc",2,0.0172413793103449,"trafo",1
"ebinacc",2,0.0172413793103449,"trafo",1
"nll",2,0.073607738962165,"trafo",1
"binnll",2,0.073607738962165,"trafo",1
"rps",2,0.0157988777714802,"trafo",1
"cint",2,-0.111777815512315,"trafo",1
"cslope",2,0.9951362893141,"trafo",1
"brier",2,0.0157988777714802,"trafo",1
"auc",2,0.800258241758242,"trafo",1
"eauc",2,0.199741758241758,"trafo",1
"qwk",2,-0.000594700791164415,"trafo",1
"eqwk",2,1.00059470079116,"trafo",1
"acc",3,0.983061101028433,"trafo",1
"binacc",3,0.983061101028433,"trafo",1
"eacc",3,0.0169388989715669,"trafo",1
"ebinacc",3,0.0169388989715669,"trafo",1
"nll",3,0.0730684981352936,"trafo",1
"binnll",3,0.0730684981352936,"trafo",1
"rps",3,0.0157942903898264,"trafo",1
"cint",3,-0.128152406428464,"trafo",1
"cslope",3,1.05483788163887,"trafo",1
"brier",3,0.0157942903898264,"trafo",1
"auc",3,0.807379120879121,"trafo",1
"eauc",3,0.192620879120879,"trafo",1
"qwk",3,0,"trafo",1
"eqwk",3,1,"trafo",1
"acc",4,0.983061101028433,"trafo",1
"binacc",4,0.983061101028433,"trafo",1
"eacc",4,0.0169388989715669,"trafo",1
"ebinacc",4,0.0169388989715669,"trafo",1
"nll",4,0.0721113678979242,"trafo",1
"binnll",4,0.0721113678979242,"trafo",1
"rps",4,0.0157527027380035,"trafo",1
"cint",4,-0.136782848792532,"trafo",1
"cslope",4,1.11560999485899,"trafo",1
"brier",4,0.0157527027380035,"trafo",1
"auc",4,0.815252747252747,"trafo",1
"eauc",4,0.184747252747253,"trafo",1
"qwk",4,0,"trafo",1
"eqwk",4,1,"trafo",1
"acc",5,0.983061101028433,"trafo",1
"binacc",5,0.983061101028433,"trafo",1
"eacc",5,0.0169388989715669,"trafo",1
"ebinacc",5,0.0169388989715669,"trafo",1
"nll",5,0.0719103380388075,"trafo",1
"binnll",5,0.0719103380388075,"trafo",1
"rps",5,0.0157509421132138,"trafo",1
"cint",5,-0.140178557133371,"trafo",1
"cslope",5,1.13691987906655,"trafo",1
"brier",5,0.0157509421132138,"trafo",1
"auc",5,0.81689010989011,"trafo",1
"eauc",5,0.18310989010989,"trafo",1
"qwk",5,0,"trafo",1
"eqwk",5,1,"trafo",1
"acc",1,0.982607380520266,"avg",1
"binacc",1,0.982607380520266,"avg",1
"eacc",1,0.0173926194797338,"avg",1
"ebinacc",1,0.0173926194797338,"avg",1
"nll",1,0.0751555903467583,"avg",1
"binnll",1,0.0751555903467583,"avg",1
"rps",1,0.0159681490750309,"avg",1
"cint",1,-0.0391005693573997,"avg",1
"cslope",1,0.883987953680856,"avg",1
"brier",1,0.0159681490750309,"avg",1
"auc",1,0.789659340659341,"avg",1
"eauc",1,0.210340659340659,"avg",1
"qwk",1,0.0156689329487731,"avg",1
"eqwk",1,0.984331067051227,"avg",1
"acc",2,0.982456140350877,"avg",1
"binacc",2,0.982456140350877,"avg",1
"eacc",2,0.0175438596491229,"avg",1
"ebinacc",2,0.0175438596491229,"avg",1
"nll",2,0.0750102520421544,"avg",1
"binnll",2,0.0750102520421544,"avg",1
"rps",2,0.0159660083676481,"avg",1
"cint",2,-0.0378109896811978,"avg",1
"cslope",2,0.888919561717826,"avg",1
"brier",2,0.0159660083676481,"avg",1
"auc",2,0.787928571428571,"avg",1
"eauc",2,0.212071428571429,"avg",1
"qwk",2,0.0152562121382432,"avg",1
"eqwk",2,0.984743787861757,"avg",1
