"metric","val","method","spl"
"acc",0.982578776414939,"avgl",1
"binacc",0.982578776414939,"avgl",1
"eacc",0.0174212235850606,"avgl",1
"ebinacc",0.0174212235850606,"avgl",1
"nll",0.0746984820977012,"avgl",1
"binnll",0.0746984820977012,"avgl",1
"rps",0.0159912985114065,"avgl",1
"cint",-0.0375495557434531,"avgl",1
"cslope",0.910674990392057,"avgl",1
"brier",0.0159912985114065,"avgl",1
"auc",0.793011983604345,"avgl",1
"eauc",0.206988016395655,"avgl",1
"qwk",0.0110187053683026,"avgl",1
"eqwk",0.988981294631697,"avgl",1
"acc",0.983142423951855,"avgl",2
"binacc",0.983142423951855,"avgl",2
"eacc",0.0168575760481449,"avgl",2
"ebinacc",0.0168575760481449,"avgl",2
"nll",0.0751628635814953,"avgl",2
"binnll",0.0751628635814953,"avgl",2
"rps",0.0156036207952371,"avgl",2
"cint",0.102494679285778,"avgl",2
"cslope",0.921553714232959,"avgl",2
"brier",0.0156036207952371,"avgl",2
"auc",0.744417750920205,"avgl",2
"eauc",0.255582249079795,"avgl",2
"qwk",0.0326256979549571,"avgl",2
"eqwk",0.967374302045043,"avgl",2
"acc",0.98143218764057,"avgl",3
"binacc",0.98143218764057,"avgl",3
"eacc",0.0185678123594297,"avgl",3
"ebinacc",0.0185678123594297,"avgl",3
"nll",0.0801773395985867,"avgl",3
"binnll",0.0801773395985867,"avgl",3
"rps",0.0172717380276136,"avgl",3
"cint",-0.0854008462243553,"avgl",3
"cslope",1.00860769408718,"avgl",3
"brier",0.0172717380276136,"avgl",3
"auc",0.775458864286464,"avgl",3
"eauc",0.224541135713536,"avgl",3
"qwk",0.0148065735921547,"avgl",3
"eqwk",0.985193426407845,"avgl",3
"acc",0.983501940652988,"avgl",4
"binacc",0.983501940652988,"avgl",4
"eacc",0.0164980593470119,"avgl",4
"ebinacc",0.0164980593470119,"avgl",4
"nll",0.0779253075245587,"avgl",4
"binnll",0.0779253075245587,"avgl",4
"rps",0.0159506710423425,"avgl",4
"cint",0.069327562229532,"avgl",4
"cslope",0.747556915914702,"avgl",4
"brier",0.0159506710423425,"avgl",4
"auc",0.740939594206892,"avgl",4
"eauc",0.259060405793108,"avgl",4
"qwk",0.0254462433969464,"avgl",4
"eqwk",0.974553756603054,"avgl",4
"acc",0.98288124596168,"avgl",5
"binacc",0.98288124596168,"avgl",5
"eacc",0.01711875403832,"avgl",5
"ebinacc",0.01711875403832,"avgl",5
"nll",0.0780121963516561,"avgl",5
"binnll",0.0780121963516561,"avgl",5
"rps",0.0162642213530101,"avgl",5
"cint",-0.0227688026423378,"avgl",5
"cslope",0.883930355989949,"avgl",5
"brier",0.0162642213530101,"avgl",5
"auc",0.749184811906681,"avgl",5
"eauc",0.250815188093319,"avgl",5
"qwk",0.00719984388203965,"avgl",5
"eqwk",0.99280015611796,"avgl",5
"acc",0.983156609049147,"avgl",6
"binacc",0.983156609049147,"avgl",6
"eacc",0.0168433909508533,"avgl",6
"ebinacc",0.0168433909508533,"avgl",6
"nll",0.0761598410289176,"avgl",6
"binnll",0.0761598410289176,"avgl",6
"rps",0.0157631716339261,"avgl",6
"cint",-0.0192113434454047,"avgl",6
"cslope",0.95137790947349,"avgl",6
"brier",0.0157631716339261,"avgl",6
"auc",0.735657572520582,"avgl",6
"eauc",0.264342427479418,"avgl",6
"qwk",-0.000405259840720558,"avgl",6
