"w.1","w.2","w.3","w.4","w.5","spl","method"
0.871591827598226,0.128408172401775,0,0,0,1,"linear"
0.0338243624333809,0.24535727862756,0.39424651125761,0.326571847681449,0,2,"linear"
0,0.780534101506562,0,0.219465898493438,0,3,"linear"
0,0.133448120790559,0.834578512236497,0,0.0319733669729439,4,"linear"
0,0.276241931019137,0.456590482287914,0,0.267167586692949,5,"linear"
0,1,0,0,0,6,"linear"
0.872233276136221,0.127766723863779,0,0,0,1,"log-linear"
0.0654185539492055,0.205568033136491,0.407968705638804,0.3210447072755,0,2,"log-linear"
0,0.779294541978726,0,0.220705458021274,0,3,"log-linear"
0,0.13416963353478,0.8292592722849,0,0.0365710941803197,4,"log-linear"
0,0.268860070586417,0.46429231341759,0,0.266847615995993,5,"log-linear"
0,1,0,0,0,6,"log-linear"
0.682028407767381,0,0,0,0.317971592232619,1,"trafo"
0.0934552349638843,0.27435632956374,0.493617940390382,0.138570495081993,0,2,"trafo"
0,0.737908582155843,0,0.262091417844157,0,3,"trafo"
0,0,0.857840838921927,0.073163837834721,0.0689953232433526,4,"trafo"
0,0.180970648776862,0.525824929517755,0,0.293204421705383,5,"trafo"
0,1,0,0,0,6,"trafo"
