"w.1","w.2","w.3","w.4","w.5","spl","method"
0.157518193256018,0,0.252291307937933,0.403074770640199,0.18711572816585,1,"linear"
0,0.140503146144959,0,0.291080391387512,0.568416462467529,2,"linear"
0.107870160552652,0.149574110980152,0,0.422933241487013,0.319622486980183,3,"linear"
0,0,0,0.915686392721431,0.0843136072785689,4,"linear"
0.318623276207752,0.195013372968419,0.215270248648392,0.271093102175437,0,5,"linear"
0.337264563213722,0.00445664159979611,0,0.40927420536516,0.249004589821322,6,"linear"
0.185340310365178,0.0538322210758406,0.22336598864797,0.321363223899994,0.216098256011018,1,"log-linear"
0,0.0317897629420154,0,0.30483784808266,0.663372388975325,2,"log-linear"
0.151497756665389,0.169143443616536,0,0.398304837968326,0.281053961749749,3,"log-linear"
0,0,0.0043370991654875,0.913212590243757,0.0824503105907556,4,"log-linear"
0.312023366298668,0.183017271356139,0.239072381707771,0.265886980637422,0,5,"log-linear"
0.362000919213073,0.138001250751582,-2.82474891529157e-17,0.499997830035345,0,6,"log-linear"
0.173161367130047,0,0.195095693798091,0.5211951205109,0.110547818560962,1,"trafo"
0,0,0,0,1,2,"trafo"
0,0.341385078818034,0,0.431439550511801,0.227175370670165,3,"trafo"
0,0,0,0.970610393391466,0.0293896066085344,4,"trafo"
0.418990663691731,0.506170310138363,0.0748390261699065,0,0,5,"trafo"
0.332080315608688,0,0,0.438987822637264,0.228931861754048,6,"trafo"
