"w.1","w.2","w.3","w.4","w.5","spl","method"
0.0245693643976505,0.0476024178029278,0,0,0.927828217799422,1,"linear"
0,0,1,0,0,2,"linear"
0,0,0.398614352901416,0,0.601385647098584,3,"linear"
0,0,0.29495053109694,0.011610819573769,0.693438649329291,4,"linear"
0.534846907507762,0,0,0.465153092492238,0,5,"linear"
0.440775995036765,0.519984959053944,0.0392390459092914,0,0,6,"linear"
0.0118022009411952,0.0550101767741571,0,0,0.933187622284648,1,"log-linear"
0,0,1,0,0,2,"log-linear"
0,0,0.389215690376923,0,0.610784309623077,3,"log-linear"
0,0,0.292194037282639,0.0136300060296105,0.69417595668775,4,"log-linear"
0.537270467557151,0,0,0.462729532442849,0,5,"log-linear"
0.449132663635711,0.550867336364289,0,0,0,6,"log-linear"
0.0977518248583075,0.197660260145648,0,0,0.704587914996045,1,"trafo"
0,0,1,0,0,2,"trafo"
0,0,0.353634191717489,0,0.646365808282511,3,"trafo"
0,0,0.350253728630372,0,0.649746271369628,4,"trafo"
0.626119510926284,0.037391716441304,0,0.336488772632412,0,5,"trafo"
0.543050976826301,0.392878130196878,0.0640708929768208,0,0,6,"trafo"
