"lwr","med","upr","metric","mod","method"
0.0716018243087405,0.0759167785672316,0.0806147953883272,"nll","ci","log-linear"
0.0151649444094306,0.0163013120023838,0.0175592167723067,"brier","ci","log-linear"
0.173004471873153,0.186919819190294,0.202738734354319,"eauc","ci","log-linear"
0.0159279463760693,0.0171576253836283,0.0185510194815765,"eacc","ci","log-linear"
-0.0940929943389252,-0.0178304379560826,0.0588032513841451,"cint","ci","log-linear"
1.20624816641048,1.3077645813039,1.4068444180246,"cslope","ci","log-linear"
-0.012039359481556,-0.00772440522306496,-0.00302638840196935,"dnll","ci","log-linear"
-0.00147090365590407,-0.000334536062950818,0.000923368706972008,"dbrier","ci","log-linear"
-0.173119673940126,-0.159204326622985,-0.14338541145896,"deauc","ci","log-linear"
-0.00116219276488658,6.74862426724715e-05,0.00146088034062069,"deacc","ci","log-linear"
